name,rh,t,lat,lng
AWQP_Cercospora_1,6287f3f81d84723ddbbf1751,6287f3f91d84723ddbbf1753,40.57328324298059,-105.0826246
AWQP_Cercospora_2,627d59ce1d8472063e1327c3,627d59cf1d847205d7306a7a,40.2351,-104.114
AWQP_Cercospora_3,6287e1591d84720ee8cbd4f1,6287e15a1d84720fb49b7bb1,40.498105,-104.597
AWQP_Cercospora_4,6287e6761d84721c9fee6514,6287e6771d84721cdfccf9a4,40.2899,-104.8251
AWQP_Cercospora_6,62bdfea31d8472047cd9f3f9,62bdfea41d8472047cd9f3fa,40.358161,-103.484039
AWQP_Cercospora_7,62f2d9741d84721be5c8c39b,62f2d9741d84721b55892251,40.358161,-103.484
Btest,63e549c03c9aae000e84d743,63e549c0bc5b66000d681df2,,
PT1-EXM,6499a93a8ecb9f007af4f168,6499a93a8ecb9f007af4f167,41.9481375,-103.9403379
PT1-KFJ,64adaddfeb95fa000b54fc11,64adade1583973000db4c349,,
PT10-4MS,644338a64a3bc0000c7aacbc,644338a7442682060e3ba35b,40.460879,-104.662427
PT11-SPF,6444fa9dbca6e305b2e2c466,6444fa9e4426821a1c8b91a9,45.691997,-108.702154
PT11-W6K,6499a92b8ecb9f007af4f159,6499a92b8ecb9f007af4f158,,
PT12-LW7-BK,644443d2514a60000e634ac8,644443d3c88148000f6fa7cd,,
PT12-WLG-BK,644800153da4de00102603b0,644800150a1538000e3aee38,,
PT12-X24,648b43b710ea19000e7ee287,648b43bd4e6015000cb46d1a,46.291578,-107.285748
PT13-26H,6442f960e4af7f000ea2d597,6442f961514a60000beb7a8d,41.7983,-103.3246531
PT13-UMC-BK,6499a9278ecb9f007af4f154,6499a9278ecb9f007af4f153,,
PT14-8BY,6442e43fc88148000dd996d8,6442e440c88148000dd996d9,45.697949,-107.638754
PT15-GAS,63fd2c8f4b3d79000b91720d,6440333064e2e2000d87d60d,40.261678,-103.805867
PT16-VMF,6446abe57e1943000ed84f1a,6446abe5d4c889000e636142,40.460128,-104.662456
PT17-FTA,63fe32c374c405000cd6f49f,645156af6a8b2126d476512b,,
